sentence,sentiment,topic,processed_ml,processed_phobert
thầy nhiệt tình dạy dễ hiểu .,2,0,thầy nhiệt_tình dạy dễ hiểu .,thầy nhiệt tình dạy dễ hiểu .
"em thấy nội dung kiểm tra chưa phù hợp , chương trình học quá nặng .",0,1,em thấy nội_dung kiểm_tra chưa phù_hợp chương_trình học quá nặng .,"em thấy nội dung kiểm tra chưa phù hợp , chương trình học quá nặng ."
nội dung mới .,2,1,nội_dung mới .,nội dung mới .
không hoàn toàn hài lòng với cách giảng dạy của thầy .,0,0,không hoàn_toàn hài_lòng với cách giảng_dạy của thầy .,không hoàn toàn hài lòng với cách giảng dạy của thầy .
"nội dung chưa được truyền đạt đến sinh viên theo cách hấp dẫn , trực tiếp mà nhàm chán , dễ gây tâm lý bối rối với nhiều kiến thức liên kết rời rạc .",0,0,nội_dung chưa được truyền_đạt đến sinh_viên theo cách hấp_dẫn trực_tiếp mà nhàm_chán dễ gây tâm_lý bối_rối với nhiều kiến_thức liên_kết rời_rạc .,"nội dung chưa được truyền đạt đến sinh viên theo cách hấp dẫn , trực tiếp mà nhàm chán , dễ gây tâm lý bối rối với nhiều kiến thức liên kết rời rạc ."
vui .,2,0,vui .,vui .
"nhiệt tình và vui vẻ với sinh viên , giảng bài kỹ .",2,0,nhiệt_tình và vui_vẻ với sinh_viên giảng bài kỹ .,"nhiệt tình và vui vẻ với sinh viên , giảng bài kỹ ."
thầy rất thường xuyên kể về các câu chuyện cá nhân mặc dù không sinh viên nào yêu cầu và quan tâm .,0,0,thầy rất thường_xuyên kể về các câu_chuyện cá_nhân mặc_dù không sinh_viên nào yêu_cầu và quan_tâm .,thầy rất thường xuyên kể về các câu chuyện cá nhân mặc dù không sinh viên nào yêu cầu và quan tâm .
"nên cập nhật giáo trình đầy đủ , nội dung môn học nên cải tiến , phần thực hành nên hiệu chỉnh để thống nhất với lý thuyết .",0,1,nên cập_nhật giáo_trình đầy_đủ nội_dung môn_học nên cải_tiến phần thực_hành nên hiệu_chỉnh để thống_nhất với lý_thuyết .,"nên cập nhật giáo trình đầy đủ , nội dung môn học nên cải tiến , phần thực hành nên hiệu chỉnh để thống nhất với lý thuyết ."
không ý kiến thêm .,1,3,không ý_kiến thêm .,không ý kiến thêm .
"theo ý kiến của em doubledot nếu như đầu ra tốt nghiệp là bằng cấp theo các chương trình ngoại ngữ bằng cấp toeic hay ielts thì em nghĩ là nên để phần đó cho các bạn sinh viên tự lo vì học av1 , av2 , av3 rồi lại phải học thêm mấy cái toeic với ielts thì mất một khoảng thời gian .",0,1,theo ý_kiến của em doubledot nếu_như đầu_ra tốt_nghiệp là bằng_cấp theo các chương_trình ngoại_ngữ bằng_cấp toeic hay ielts thì em nghĩ là nên để phần đó cho các bạn sinh_viên tự lo vì học av1 av2 av3 rồi lại phải học thêm mấy cái toeic với ielts thì mất một khoảng thời_gian .,"theo ý kiến của em doubledot nếu như đầu ra tốt nghiệp là bằng cấp theo các chương trình ngoại ngữ bằng cấp toeic hay ielts thì em nghĩ là nên để phần đó cho các bạn sinh viên tự lo vì học av1 , av2 , av3 rồi lại phải học thêm mấy cái toeic với ielts thì mất một khoảng thời gian ."
các deadline thời gian hơi ít .,0,1,các deadline thời_gian hơi ít .,các deadline thời gian hơi ít .
"mong ở những môn học tới , với kiến thức và kinh nghiệm của mình thêm với sự tương tác và sắp xếp thời gian , thầy sẽ mang đến những tiết học bổ ích và hiệu quả nhất cho học viên của mình .",0,1,mong ở những môn_học tới với kiến_thức và kinh_nghiệm của mình thêm với sự tương_tác và sắp_xếp thời_gian thầy sẽ mang đến những tiết_học bổ_ích và hiệu_quả nhất cho học_viên của mình .,"mong ở những môn học tới , với kiến thức và kinh nghiệm của mình thêm với sự tương tác và sắp xếp thời gian , thầy sẽ mang đến những tiết học bổ ích và hiệu quả nhất cho học viên của mình ."
môn này không nên có hình thức thực hành 2 không hiệu quả .,0,1,môn này không nên có hình_thức thực_hành 2 không hiệu_quả .,môn này không nên có hình thức thực hành 2 không hiệu quả .
"cứ mặc kệ mấy cái báo cáo nhảm nhỉ của cái đợt hợp vừa rồi , cá nhân em rất thích được học với thầy .",2,0,cứ mặc_kệ mấy cái báo_cáo nhảm_nhỉ của cái đợt hợp vừa_rồi cá_nhân em rất thích được học với thầy .,"cứ mặc kệ mấy cái báo cáo nhảm nhỉ của cái đợt hợp vừa rồi , cá nhân em rất thích được học với thầy ."
thầy nói hơi nhỏ và đều đều nên rất dễ buồn ngủ .,0,0,thầy nói hơi nhỏ và đều nên rất dễ buồn_ngủ .,thầy nói hơi nhỏ và đều đều nên rất dễ buồn ngủ .
"em không thể đi học môn wzjwz75 , nên học kỳ này sẽ nợ môn này .",0,3,em không_thể đi học môn wzjwz75 nên học_kỳ này sẽ nợ môn này .,"em không thể đi học môn wzjwz75 , nên học kỳ này sẽ nợ môn này ."
ra đề thực hành sát với nội dung ôn tập .,1,0,ra đề_thực_hành_sát với nội_dung ôn_tập .,ra đề thực hành sát với nội dung ôn tập .
"giảng viên truyền đạt tốt , rất dễ hiểu .",2,0,giảng_viên truyền_đạt tốt rất dễ hiểu .,"giảng viên truyền đạt tốt , rất dễ hiểu ."
dạy nhiệt tình nên hay lấn giờ quá tiết .,0,0,dạy nhiệt_tình nên hay lấn giờ quá_tiết .,dạy nhiệt tình nên hay lấn giờ quá tiết .
giáo viên cho giảng dạy tận tình .,2,0,giáo_viên cho giảng_dạy tận_tình .,giáo viên cho giảng dạy tận tình .
đồ án thầy yêu cầu khó thực hiện vì toàn là bài báo khoa học có nội dung trừu tượng .,0,0,đồ_án thầy yêu_cầu khó thực_hiện vì toàn là bài báo khoa_học có nội_dung trừu_tượng .,đồ án thầy yêu cầu khó thực hiện vì toàn là bài báo khoa học có nội dung trừu tượng .
thầy sử dụng thời gian dạy tốt .,2,0,thầy sử_dụng thời_gian dạy tốt .,thầy sử dụng thời gian dạy tốt .
"thầy wzjwz205 rất nhiệt tình với sinh viên , luôn cung cấp kiến thức cập nhật và thực tiễn .",2,0,thầy wzjwz205 rất nhiệt_tình với sinh_viên luôn cung_cấp kiến_thức cập_nhật và thực_tiễn .,"thầy wzjwz205 rất nhiệt tình với sinh viên , luôn cung cấp kiến thức cập nhật và thực tiễn ."
tài liệu và giảng viên nhiệt tình .,2,1,tài_liệu và giảng_viên nhiệt_tình .,tài liệu và giảng viên nhiệt tình .
"thầy dạy tâm huyết với sinh viên , dạy cho sinh viên rất nhiều kiến thức bổ ích !",2,0,thầy dạy tâm_huyết với sinh_viên dạy cho sinh_viên rất nhiều kiến_thức bổ_ích !,"thầy dạy tâm huyết với sinh viên , dạy cho sinh viên rất nhiều kiến thức bổ ích !"
thầy giúp sinh viên luyện tập rất nhiệt tình .,2,0,thầy giúp sinh_viên luyện_tập rất nhiệt_tình .,thầy giúp sinh viên luyện tập rất nhiệt tình .
"khi có thông báo nghỉ , cần cập nhập thông tin trên web của khoa wzjwz158 .",0,1,khi có thông_báo nghỉ cần cập_nhập thông_tin trên web của khoa wzjwz158 .,"khi có thông báo nghỉ , cần cập nhập thông tin trên web của khoa wzjwz158 ."
"kiến thức truyền đạt còn ít , thời gian lên lớp thường trễ .",0,0,kiến_thức truyền_đạt còn ít thời_gian lên lớp thường trễ .,"kiến thức truyền đạt còn ít , thời gian lên lớp thường trễ ."
em nghĩ nên thi thực hành thay vì lý thuyết cuối kỳ .,0,1,em nghĩ nên thi thực_hành thay_vì lý_thuyết cuối kỳ .,em nghĩ nên thi thực hành thay vì lý thuyết cuối kỳ .
khi sinh viên nhờ thầy giải một bài tập để làm mẫu nhưng không nhận được bất kỳ bài giải nào từ thầy .,0,0,khi sinh_viên nhờ thầy giải một bài_tập để làm mẫu nhưng không nhận được bất_kỳ bài giải nào từ thầy .,khi sinh viên nhờ thầy giải một bài tập để làm mẫu nhưng không nhận được bất kỳ bài giải nào từ thầy .
thời lượng thi ít khiến nhiều câu bỏ trống .,0,1,thời lượng thi ít khiến nhiều câu bỏ trống .,thời lượng thi ít khiến nhiều câu bỏ trống .
cách thầy dạy môn này trong kỳ trước em không được biết chỉ được nghe từ các bạnem đã cảm thấy vui khi được học với thầy .,2,0,cách thầy dạy môn này trong kỳ trước em không được biết chỉ được nghe từ các bạnem đã cảm_thấy vui khi được học với thầy .,cách thầy dạy môn này trong kỳ trước em không được biết chỉ được nghe từ các bạnem đã cảm thấy vui khi được học với thầy .
"thường xuyên nghỉ học không thông báo , lên lớp trễ .",0,0,thường_xuyên nghỉ học không thông_báo lên lớp trễ .,"thường xuyên nghỉ học không thông báo , lên lớp trễ ."
cô giáo rất tận tình và có phương pháp giảng dạy rất tốt đối với sinh viên .,2,0,cô_giáo rất tận_tình và có phương_pháp giảng_dạy rất tốt đối_với sinh_viên .,cô giáo rất tận tình và có phương pháp giảng dạy rất tốt đối với sinh viên .
giảng viên luôn vui vẻ và tận tình giúp đỡ sinh viên .,2,0,giảng_viên luôn vui_vẻ và tận_tình giúp_đỡ sinh_viên .,giảng viên luôn vui vẻ và tận tình giúp đỡ sinh viên .
dùng lời lẽ để ép buộc sinh viên .,0,0,dùng lời_lẽ để ép_buộc sinh_viên .,dùng lời lẽ để ép buộc sinh viên .
"những thứ đó không đủ để làm bài thực hành như tuần 5 , tuần 6 , tuần 7 .",0,3,những thứ đó không đủ để làm bài thực_hành như tuần 5 tuần 6 tuần 7 .,"những thứ đó không đủ để làm bài thực hành như tuần 5 , tuần 6 , tuần 7 ."
bài tập deadline quá nhiều mà thời gian lại quá ngắn .,0,1,bài_tập deadline quá nhiều mà thời_gian lại quá ngắn .,bài tập deadline quá nhiều mà thời gian lại quá ngắn .
nên rút gọn kiến thức lại .,0,1,nên rút gọn kiến_thức lại .,nên rút gọn kiến thức lại .
đan xen những câu chuyện thực tiễn trong lúc học .,2,0,đan_xen những câu_chuyện thực_tiễn trong lúc học .,đan xen những câu chuyện thực tiễn trong lúc học .
thầy không chú trọng đến kết quả tốt hay không mà khuyến khích sinh viên làm việc hết khả năng của mình .,2,0,thầy không chú_trọng đến kết_quả tốt hay không mà khuyến_khích sinh_viên làm_việc hết khả_năng của mình .,thầy không chú trọng đến kết quả tốt hay không mà khuyến khích sinh viên làm việc hết khả năng của mình .
không có hoạt động không hài lòng .,1,3,không có hoạt_động không hài_lòng .,không có hoạt động không hài lòng .
"có nhiều nội dung liên quan tới thực tiễn , có thể áp dụng vào thực tế sau này .",2,1,có nhiều nội_dung liên_quan tới thực_tiễn có_thể áp_dụng vào thực_tế sau_này .,"có nhiều nội dung liên quan tới thực tiễn , có thể áp dụng vào thực tế sau này ."
"vào lớp muộn , cho ra trễ .",0,0,vào lớp muộn cho ra trễ .,"vào lớp muộn , cho ra trễ ."
"thầy vui tính , thường xuyên cho bài tập cho sinh viên .",2,0,thầy vui_tính thường_xuyên cho bài_tập cho sinh_viên .,"thầy vui tính , thường xuyên cho bài tập cho sinh viên ."
sinh viên trường wzjwz80 chúng ta hoàn toàn không được đánh giá cao so với sinh viên của wzjwz81 và wzjwz82 .,0,3,sinh_viên trường wzjwz80 chúng_ta hoàn_toàn không được đánh_giá cao so với sinh_viên của wzjwz81 và wzjwz82 .,sinh viên trường wzjwz80 chúng ta hoàn toàn không được đánh giá cao so với sinh viên của wzjwz81 và wzjwz82 .
"giảng viên vui vẻ , giảng dạy tận tâm .",2,0,giảng_viên vui_vẻ giảng_dạy tận_tâm .,"giảng viên vui vẻ , giảng dạy tận tâm ."
"giáo viên lên lớp đầy đủ , tận tâm , nhiệt tình trong giảng dạy .",2,0,giáo_viên lên_lớp đầy_đủ tận_tâm nhiệt_tình trong giảng_dạy .,"giáo viên lên lớp đầy đủ , tận tâm , nhiệt tình trong giảng dạy ."
"phương pháp giảng dạy ( cụ thể là cách truyền đạt ) của thầy đơn giản , dễ hiểu và hiệu quả .",2,0,phương_pháp giảng_dạy ( cụ_thể là cách truyền_đạt ) của thầy đơn_giản dễ hiểu và hiệu_quả .,"phương pháp giảng dạy ( cụ thể là cách truyền đạt ) của thầy đơn giản , dễ hiểu và hiệu quả ."
"phát âm thuật ngữ tiếng anh không chuẩn , khó phân biệt khi nghe giảng .",0,0,phát âm_thuật_ngữ tiếng anh không chuẩn khó phân_biệt khi nghe giảng .,"phát âm thuật ngữ tiếng anh không chuẩn , khó phân biệt khi nghe giảng ."
"giảng viên dạy tâm huyết , nhiệt tình , bài tập cụ thể rõ ràng .",2,0,giảng_viên dạy tâm_huyết nhiệt_tình bài_tập cụ_thể rõ_ràng .,"giảng viên dạy tâm huyết , nhiệt tình , bài tập cụ thể rõ ràng ."
thầy có đi dạy trễ .,0,0,thầy có đi dạy trễ .,thầy có đi dạy trễ .
"có thể nói học nhập môn lập trình gặp được cô là một điều vô cùng may mắn , cảm ơn cô nhiều .",2,0,có_thể nói học nhập_môn lập_trình gặp được cô là một điều vô_cùng may_mắn cảm_ơn cô nhiều .,"có thể nói học nhập môn lập trình gặp được cô là một điều vô cùng may mắn , cảm ơn cô nhiều ."
cô wzjwz195 thật tuyệt vời .,2,0,cô wzjwz195 thật tuyệt_vời .,cô wzjwz195 thật tuyệt vời .
nếu thầy có thể đến sớm để dạy cho sinh viên có thể nghĩ trưa được nhiều hơn .,0,0,nếu thầy có_thể đến sớm để dạy cho sinh_viên có_thể nghĩ trưa được nhiều hơn .,nếu thầy có thể đến sớm để dạy cho sinh viên có thể nghĩ trưa được nhiều hơn .
thầy thường xuyên nghỉ mà không thông báo .,0,0,thầy thường_xuyên nghỉ mà không thông_báo .,thầy thường xuyên nghỉ mà không thông báo .
"cách giảng dạy đơn giản , ngắn gọn nhưng dễ tiếp thu .",2,0,cách giảng_dạy đơn_giản ngắn_gọn nhưng dễ tiếp_thu .,"cách giảng dạy đơn giản , ngắn gọn nhưng dễ tiếp thu ."
bài giảng chưa thật sự thu hút .,0,0,bài giảng chưa thật_sự thu_hút .,bài giảng chưa thật sự thu hút .
"giảng dạy chi tiết , dễ hiểu .",2,0,giảng_dạy chi_tiết dễ hiểu .,"giảng dạy chi tiết , dễ hiểu ."
điểm làm đồ án nên trên 50% thì sẽ có tính thực tiễn hơn .,0,1,điểm làm đồ_án nên trên 50 % thì sẽ có tính thực_tiễn hơn .,điểm làm đồ án nên trên 50% thì sẽ có tính thực tiễn hơn .
phòng học oi bức .,0,2,phòng học oi_bức .,phòng học oi bức .
kích thích sự đam mê cho các sinh viên .,2,0,kích_thích sự đam_mê cho các sinh_viên .,kích thích sự đam mê cho các sinh viên .
"không dạy vào trọng tâm chương trình , sử dụng giáo trình mà thường đi lan man .",0,1,không dạy vào trọng_tâm chương_trình sử_dụng giáo_trình mà thường đi lan_man .,"không dạy vào trọng tâm chương trình , sử dụng giáo trình mà thường đi lan man ."
"tận tâm , chu đáo .",2,0,tận_tâm chu_đáo .,"tận tâm , chu đáo ."
"thầy rất hay nói thêm về các tài liệu tiếng anh , các kiến thức mà sách tiếng việt không đề cập , bổ sung nhiều kiến thức hay cho sinh viên .",2,0,thầy rất hay nói thêm về các tài_liệu tiếng anh các kiến_thức mà sách tiếng việt không đề_cập bổ_sung nhiều kiến_thức hay cho sinh_viên .,"thầy rất hay nói thêm về các tài liệu tiếng anh , các kiến thức mà sách tiếng việt không đề cập , bổ sung nhiều kiến thức hay cho sinh viên ."
"thầy nên cho nhiều ví dụ liên quan đến bài học hơn , và nên có hình thức làm và nộp bài tập hàng tuần .",0,0,thầy nên cho nhiều ví_dụ liên_quan đến bài_học hơn và nên có hình_thức làm và nộp bài_tập hàng tuần .,"thầy nên cho nhiều ví dụ liên quan đến bài học hơn , và nên có hình thức làm và nộp bài tập hàng tuần ."
"phòng thực hành khoa wzjwz70 máy hư tùm lum , không hiểu sao phòng thực hành mấy khoa khác như wzjwz71 , wzjwz72 đầu tư mới với tốt hơn nhiều .",0,2,phòng thực_hành_khoa wzjwz70 máy hư tùm_lum không hiểu sao phòng thực_hành mấy khoa khác như wzjwz71 wzjwz72 đầu_tư mới với tốt hơn nhiều .,"phòng thực hành khoa wzjwz70 máy hư tùm lum , không hiểu sao phòng thực hành mấy khoa khác như wzjwz71 , wzjwz72 đầu tư mới với tốt hơn nhiều ."
"thầy đi dạy rất đúng giờ , giảng dạy nhiệt tình .",2,0,thầy đi dạy rất đúng giờ giảng_dạy nhiệt_tình .,"thầy đi dạy rất đúng giờ , giảng dạy nhiệt tình ."
tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy .,1,3,tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy .,tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy .
"luôn quan tâm sinh viên , dạy kiến thức hay , dễ hiểu .",2,0,luôn quan_tâm sinh_viên dạy kiến_thức hay dễ hiểu .,"luôn quan tâm sinh viên , dạy kiến thức hay , dễ hiểu ."
"thầy giảng dạy nhiệt tình , tận tụy , tận tình hướng dẫn .",2,0,thầy giảng_dạy nhiệt_tình tận tụy tận_tình hướng_dẫn .,"thầy giảng dạy nhiệt tình , tận tụy , tận tình hướng dẫn ."
mong các môn thực hành cách tuần sẽ chuyển thành hàng tuần .,0,1,mong các môn thực_hành cách tuần sẽ chuyển thành hàng tuần .,mong các môn thực hành cách tuần sẽ chuyển thành hàng tuần .
giải đáp thắc mắc cho các bạn sinh viên .,2,0,giải_đáp thắc_mắc cho các bạn sinh_viên .,giải đáp thắc mắc cho các bạn sinh viên .
chúc thầy tràn đầy sức khỏe và giảng dạy thật tốt trong các kỳ tiếp theo !,2,0,chúc thầy tràn_đầy sức_khỏe và giảng_dạy thật tốt trong các kỳ tiếp_theo !,chúc thầy tràn đầy sức khỏe và giảng dạy thật tốt trong các kỳ tiếp theo !
"môn học không mang tính ứng dụng và thực tế , kiến thức quá chung chung .",0,1,môn_học không mang tính ứng_dụng và thực_tế kiến_thức quá chung .,"môn học không mang tính ứng dụng và thực tế , kiến thức quá chung chung ."
"một số vấn đề sinh viên thắc mắc đăng lên course thường được giảng viên trả lời chậm , và thường không trả lời luôn .",0,0,một_số vấn_đề sinh_viên thắc_mắc đăng lên course thường được giảng_viên trả_lời chậm và thường không trả_lời luôn .,"một số vấn đề sinh viên thắc mắc đăng lên course thường được giảng viên trả lời chậm , và thường không trả lời luôn ."
phương pháp giảng dạy giúp sinh viên nắm bắt được nhiều lỗi sai trong bài .,2,0,phương_pháp giảng_dạy giúp sinh_viên nắm_bắt được nhiều lỗi sai trong bài .,phương pháp giảng dạy giúp sinh viên nắm bắt được nhiều lỗi sai trong bài .
bài học liên quan tới thực tế .,2,0,bài_học liên_quan tới thực_tế .,bài học liên quan tới thực tế .
giảng viên thường xuyên đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận .,2,0,giảng_viên thường_xuyên đưa bài_tập lên bảng để vừa giảng vừa tạo ra cuộc thảo_luận .,giảng viên thường xuyên đưa bài tập lên bảng để vừa giảng vừa tạo ra cuộc thảo luận .
"cô rất dễ thương , cho điểm khách quan , cô giúp em nhớ lại nhiều kiến thức .",2,0,cô rất dễ_thương cho điểm khách_quan cô giúp em nhớ lại nhiều kiến_thức .,"cô rất dễ thương , cho điểm khách quan , cô giúp em nhớ lại nhiều kiến thức ."
"slide môn học một số phần dịch từ tiếng anh khó hiểu , không rõ ràng .",0,1,slide môn_học một_số phần dịch từ tiếng anh khó hiểu không rõ_ràng .,"slide môn học một số phần dịch từ tiếng anh khó hiểu , không rõ ràng ."
thầy cho bài tập về nhà hàng tuần .,1,0,thầy cho bài_tập về nhà_hàng tuần .,thầy cho bài tập về nhà hàng tuần .
cho cái nhìn về môi trường bên ngoài doanh nghiệp .,2,1,cho cái nhìn về môi_trường bên ngoài doanh_nghiệp .,cho cái nhìn về môi trường bên ngoài doanh nghiệp .
"cách dạy và cách nói chuyện của thầy rất thu hút , giúp em tập trung vào bài học rất dễ .",2,0,cách dạy và cách nói_chuyện của thầy rất thu_hút giúp em tập_trung vào bài_học rất dễ .,"cách dạy và cách nói chuyện của thầy rất thu hút , giúp em tập trung vào bài học rất dễ ."
rất mong thầy trong thời gian giảng dạy có thể cải thiện nhiều phương pháp truyền đạt để môn học thú vị hơn .,0,0,rất mong thầy trong thời_gian giảng_dạy có_thể cải_thiện nhiều phương_pháp truyền_đạt để môn_học thú_vị hơn .,rất mong thầy trong thời gian giảng dạy có thể cải thiện nhiều phương pháp truyền đạt để môn học thú vị hơn .
em có gửi một message trên trang web môn học cho một thầy nhưng mà chờ mãi vẫn chưa nhận được câu trả lời .,0,0,em có gửi một message trên trang_web môn_học cho một thầy nhưng_mà chờ mãi vẫn chưa nhận được câu trả_lời .,em có gửi một message trên trang web môn học cho một thầy nhưng mà chờ mãi vẫn chưa nhận được câu trả lời .
giảng viên nên giảng nhiều hơn chứ không nên để sinh viên lên làm bài tập .,0,0,giảng_viên nên giảng nhiều hơn chứ không nên để sinh_viên lên làm bài_tập .,giảng viên nên giảng nhiều hơn chứ không nên để sinh viên lên làm bài tập .
thầy giảng đúng trọng tâm đề dễ hiểu .,2,0,thầy giảng đúng trọng_tâm_đề dễ hiểu .,thầy giảng đúng trọng tâm đề dễ hiểu .
cô không sử dụng hệ thống course của trường .,0,0,cô không sử_dụng hệ_thống course của trường .,cô không sử dụng hệ thống course của trường .
đi học hay không đi học cũng như nhau .,0,0,đi học hay không đi học cũng như nhau .,đi học hay không đi học cũng như nhau .
"thầy giảng bài dễ hiểu , nhiệt tình .",2,0,thầy giảng bài dễ hiểu nhiệt_tình .,"thầy giảng bài dễ hiểu , nhiệt tình ."
cho bài tập đầy đủ .,2,0,cho bài_tập đầy_đủ .,cho bài tập đầy đủ .
"thầy dạy rất tốt , rất hay .",2,0,thầy dạy rất tốt rất hay .,"thầy dạy rất tốt , rất hay ."
"cô cho bài tập về nhà , deadline cuối mỗi chương , bài tập mỗi chương giúp tụi em nắm vững kiến thức của môn học này .",2,0,cô cho bài_tập về nhà deadline cuối mỗi chương bài_tập mỗi chương giúp tụi em nắm vững kiến_thức của môn_học này .,"cô cho bài tập về nhà , deadline cuối mỗi chương , bài tập mỗi chương giúp tụi em nắm vững kiến thức của môn học này ."
"chép bài trên bảng nhanh , giảng hơi nhanh .",0,3,chép bài trên bảng nhanh giảng hơi nhanh .,"chép bài trên bảng nhanh , giảng hơi nhanh ."
rất thích cách xét công tâm của cô .,2,0,rất thích cách xét công_tâm của cô .,rất thích cách xét công tâm của cô .
"cô dạy khó hiểu , phức tạp hóa vấn đề .",0,0,cô dạy khó hiểu phức_tạp hóa vấn_đề .,"cô dạy khó hiểu , phức tạp hóa vấn đề ."
cách cô sắp xếp sinh viên khi thi giữa kỳ rất lộn xộn .,0,0,cách cô sắp_xếp sinh_viên khi thi giữa kỳ rất lộn_xộn .,cách cô sắp xếp sinh viên khi thi giữa kỳ rất lộn xộn .
nhiều nội dung môn học bị bỏ qua .,0,0,nhiều nội_dung môn_học bị bỏ_qua .,nhiều nội dung môn học bị bỏ qua .
"thầy dạy nhiệt tình dễ hiểu , cho làm nhiều bài tập hay thú vị .",2,0,thầy dạy nhiệt_tình dễ hiểu cho làm nhiều bài_tập hay thú_vị .,"thầy dạy nhiệt tình dễ hiểu , cho làm nhiều bài tập hay thú vị ."
"thầy rất vui tính , tận tâm và có một vốn kiến thức rất phong phú .",2,0,thầy rất vui_tính tận_tâm và có một vốn kiến_thức rất phong_phú .,"thầy rất vui tính , tận tâm và có một vốn kiến thức rất phong phú ."
"thầy dạy tương đối ổn , có tính thực tế .",2,0,thầy dạy tương_đối ổn có tính thực_tế .,"thầy dạy tương đối ổn , có tính thực tế ."
"ít sử dụng hệ thống moodle môn học , slide bài giảng các bài nộp khó khăn để nộp do sinh viên ít sử dụng hệ thống dropbox .",0,1,ít sử_dụng hệ_thống moodle môn_học slide bài giảng các bài nộp khó_khăn để nộp do sinh_viên ít sử_dụng hệ_thống dropbox .,"ít sử dụng hệ thống moodle môn học , slide bài giảng các bài nộp khó khăn để nộp do sinh viên ít sử dụng hệ thống dropbox ."
cung cấp đầy đủ và cập nhật giáo trình và tài liệu phục vụ môn học hơn .,0,1,cung_cấp đầy_đủ và cập_nhật giáo_trình và tài_liệu phục_vụ môn_học hơn .,cung cấp đầy đủ và cập nhật giáo trình và tài liệu phục vụ môn học hơn .
"thầy rất vui tính , nói chuyện cũng vậy .",2,0,thầy rất vui_tính nói_chuyện cũng vậy .,"thầy rất vui tính , nói chuyện cũng vậy ."
"thầy rất vui tính , dạy dễ hiểu .",2,0,thầy rất vui_tính dạy dễ hiểu .,"thầy rất vui tính , dạy dễ hiểu ."
cô rất quan tâm tới sinh viên .,2,0,cô rất quan_tâm tới sinh_viên .,cô rất quan tâm tới sinh viên .
"thầy dạy rất nhiệt tình nhưng bị lố giờ nhiều quá , môn học có 4 tiết nhưng lúc nào cũng gần như là 5 tiết .",0,0,thầy dạy rất nhiệt_tình nhưng bị lố_giờ nhiều quá môn_học có 4 tiết nhưng lúc_nào cũng gần như là 5 tiết .,"thầy dạy rất nhiệt tình nhưng bị lố giờ nhiều quá , môn học có 4 tiết nhưng lúc nào cũng gần như là 5 tiết ."
gây khó khăn cho việc làm bài thi .,0,0,gây khó_khăn cho việc_làm bài thi .,gây khó khăn cho việc làm bài thi .
giảng viên thụ động .,0,0,giảng_viên thụ_động .,giảng viên thụ động .
"yêu nghề , hăng say , tích cực với công việc , nhiệt tình giảng dạy .",2,0,yêu nghề hăng_say tích_cực với công_việc nhiệt_tình giảng_dạy .,"yêu nghề , hăng say , tích cực với công việc , nhiệt tình giảng dạy ."
giảng dạy nhiệt tình và kỹ lưỡng .,2,0,giảng_dạy nhiệt_tình và kỹ_lưỡng .,giảng dạy nhiệt tình và kỹ lưỡng .
toàn phải đi học ké lớp khác .,0,3,toàn phải đi học ké lớp khác .,toàn phải đi học ké lớp khác .
truyền đạt hay giúp học sinh dễ hiểu !,2,0,truyền_đạt hay giúp học_sinh dễ hiểu !,truyền đạt hay giúp học sinh dễ hiểu !
phương pháp giảng bài của thầy khiến sinh viên dễ dàng tiếp thu được kiến thức .,2,0,phương_pháp giảng_bài của thầy khiến sinh_viên dễ_dàng tiếp_thu được kiến_thức .,phương pháp giảng bài của thầy khiến sinh viên dễ dàng tiếp thu được kiến thức .
đôi khi một số điều thầy nói sinh viên tự tìm hiểu mà không giải thích thêm .,0,0,đôi_khi một_số điều thầy nói sinh_viên tự tìm_hiểu mà không giải_thích thêm .,đôi khi một số điều thầy nói sinh viên tự tìm hiểu mà không giải thích thêm .
"cách dạy còn khô khan , nhàm chán , không tạo được cho sinh viên sự hào hứng .",0,0,cách dạy còn khô_khan nhàm_chán không tạo được cho sinh_viên sự hào_hứng .,"cách dạy còn khô khan , nhàm chán , không tạo được cho sinh viên sự hào hứng ."
khuyến khích phát biểu trong giờ học và đưa ra các bài tập khó cộng điểm để tạo hứng thú cho học sinh .,0,0,khuyến_khích phát_biểu trong giờ học và đưa ra các bài_tập khó cộng_điểm để tạo hứng_thú cho học_sinh .,khuyến khích phát biểu trong giờ học và đưa ra các bài tập khó cộng điểm để tạo hứng thú cho học sinh .
bài thi phải sát hơn và thêm phần thi nói để kiểm tra và xếp loại đầu vào .,0,1,bài thi phải sát hơn và thêm phần thi nói để kiểm_tra và xếp loại đầu_vào .,bài thi phải sát hơn và thêm phần thi nói để kiểm tra và xếp loại đầu vào .
khi hỏi thì giảng viên nói rằng đến lớp nhưng không thấy ai .,0,0,khi hỏi thì giảng_viên nói rằng đến lớp nhưng không thấy ai .,khi hỏi thì giảng viên nói rằng đến lớp nhưng không thấy ai .
